protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E1_corrected,s08,anon,16KiB,16384,1000,200,0,162.074,159.660,170.160,192.472,159.491,159.871
E1_corrected,s08,otp,1KiB,1024,1000,200,1,13.440,13.032,14.115,20.429,13.022,13.042
E1_corrected,s08,approval,128B,128,1000,200,2,11.911,11.825,12.080,13.921,11.819,11.831
E1_corrected,s08,approval,16KiB,16384,1000,200,3,35.900,29.140,33.504,41.760,29.130,29.151
E1_corrected,s08,direct,1KiB,1024,1000,200,4,13.127,12.947,13.303,17.823,12.941,12.954
E1_corrected,s08,otp,128B,128,1000,200,5,12.079,11.867,12.397,19.472,11.859,11.873
E1_corrected,s08,otp,16KiB,16384,1000,200,6,30.054,29.152,32.853,45.431,29.137,29.168
E1_corrected,s08,direct,16KiB,16384,1000,200,7,36.412,29.171,35.172,55.450,29.156,29.183
E1_corrected,s08,anon,128B,128,1000,200,8,13.798,13.515,14.954,19.939,13.509,13.524
E1_corrected,s08,anon,1KiB,1024,1000,200,9,22.568,22.305,23.508,28.883,22.287,22.317
E1_corrected,s08,approval,1KiB,1024,1000,200,10,13.096,12.949,13.264,16.647,12.942,12.956
E1_corrected,s08,direct,128B,128,1000,200,11,12.019,11.897,12.388,15.193,11.890,11.904
